DATA,LOGIN,NOME_INDICADO,NUMERADOR,DENOMINADOR,GRUPO_AGENTE
2024-08-29,Agente_40,TMA,624,122,Grupo_1
2024-09-21,Agente_48,TMA,861,40,Grupo_2
2024-12-11,Agente_9,TMA,759,148,Grupo_4
2024-02-22,Agente_17,CSAT,99,6,Grupo_0
2024-12-05,Agente_18,CSAT,26,7,Grupo_2
2024-04-01,Agente_6,CSAT,48,96,Grupo_4
2024-09-20,Agente_18,Nota de Qualidade,7,1,Grupo_1
2024-02-04,Agente_23,TMA,1076,56,Grupo_3
2024-07-24,Agente_14,CSAT,43,79,Grupo_1
2024-03-21,Agente_40,Nota de Qualidade,6,6,Grupo_0
2024-02-19,Agente_41,CSAT,46,93,Grupo_1
2024-12-25,Agente_22,CSAT,47,30,Grupo_1
2024-01-02,Agente_3,TMA,317,152,Grupo_1
2024-02-23,Agente_37,Nota de Qualidade,6,5,Grupo_1
2024-04-15,Agente_3,TMA,204,84,Grupo_0
2024-09-16,Agente_4,TMA,581,130,Grupo_4
2024-11-05,Agente_40,CSAT,32,78,Grupo_2
2024-07-09,Agente_43,TMA,441,17,Grupo_3
2024-08-05,Agente_22,Nota de Qualidade,0,7,Grupo_2
2024-02-13,Agente_39,TMA,386,144,Grupo_2
2024-06-10,Agente_36,TMA,689,64,Grupo_3
2024-07-20,Agente_10,TMA,143,155,Grupo_0
2024-09-26,Agente_10,CSAT,42,78,Grupo_3
2024-12-16,Agente_12,Nota de Qualidade,7,5,Grupo_0
2024-10-30,Agente_13,CSAT,13,21,Grupo_2
2024-09-27,Agente_7,CSAT,56,91,Grupo_0
2024-08-02,Agente_24,CSAT,45,26,Grupo_4
2024-09-08,Agente_17,CSAT,90,24,Grupo_3
2024-07-08,Agente_43,CSAT,4,42,Grupo_4
2024-10-22,Agente_43,Nota de Qualidade,5,8,Grupo_2
2024-07-31,Agente_17,TMA,321,83,Grupo_3
2024-07-26,Agente_9,CSAT,66,7,Grupo_2
2024-08-24,Agente_6,CSAT,28,34,Grupo_4
2024-12-03,Agente_49,Nota de Qualidade,6,1,Grupo_2
2024-02-22,Agente_43,Nota de Qualidade,9,5,Grupo_3
2024-10-06,Agente_13,TMA,104,56,Grupo_3
2024-08-04,Agente_14,Nota de Qualidade,0,8,Grupo_2
2024-09-08,Agente_15,TMA,388,177,Grupo_3
2024-07-06,Agente_1,CSAT,29,62,Grupo_3
2024-02-10,Agente_29,CSAT,70,17,Grupo_2
2024-06-05,Agente_29,TMA,780,113,Grupo_4
2024-01-15,Agente_17,Nota de Qualidade,9,1,Grupo_3
2024-10-27,Agente_30,TMA,858,172,Grupo_3
2024-03-05,Agente_43,Nota de Qualidade,7,8,Grupo_3
2024-12-10,Agente_47,CSAT,29,85,Grupo_3
2024-11-22,Agente_12,Nota de Qualidade,7,2,Grupo_2
2024-01-09,Agente_19,TMA,342,11,Grupo_4
2024-12-09,Agente_48,TMA,133,73,Grupo_4
2024-05-08,Agente_49,CSAT,4,91,Grupo_0
2024-05-15,Agente_34,Nota de Qualidade,3,1,Grupo_3
2024-03-03,Agente_22,Nota de Qualidade,4,7,Grupo_3
2024-05-18,Agente_41,Nota de Qualidade,0,2,Grupo_0
2024-03-21,Agente_32,CSAT,78,78,Grupo_4
2024-06-11,Agente_37,Nota de Qualidade,8,5,Grupo_1
2024-10-15,Agente_34,TMA,857,160,Grupo_1
2024-09-17,Agente_35,Nota de Qualidade,1,7,Grupo_4
2024-08-18,Agente_19,CSAT,63,55,Grupo_3
2024-02-10,Agente_2,Nota de Qualidade,6,5,Grupo_1
2024-01-28,Agente_7,Nota de Qualidade,8,2,Grupo_2
2024-05-14,Agente_39,TMA,191,75,Grupo_2
2024-07-19,Agente_31,Nota de Qualidade,7,1,Grupo_0
2024-11-23,Agente_28,TMA,731,53,Grupo_4
2024-09-24,Agente_6,TMA,168,46,Grupo_4
2024-02-02,Agente_1,CSAT,90,92,Grupo_1
2024-02-17,Agente_20,TMA,887,196,Grupo_3
2024-03-02,Agente_5,TMA,1119,58,Grupo_4
2024-08-03,Agente_27,CSAT,50,8,Grupo_1
2024-10-19,Agente_47,TMA,807,187,Grupo_1
2024-04-08,Agente_41,CSAT,40,38,Grupo_4
2024-06-20,Agente_35,Nota de Qualidade,7,6,Grupo_1
2024-12-25,Agente_31,CSAT,77,79,Grupo_0
2024-08-01,Agente_44,TMA,937,155,Grupo_0
2024-02-04,Agente_41,CSAT,64,64,Grupo_4
2024-08-14,Agente_45,TMA,711,127,Grupo_3
2024-04-10,Agente_8,Nota de Qualidade,8,5,Grupo_0
2024-05-10,Agente_10,CSAT,59,50,Grupo_0
2024-09-13,Agente_22,Nota de Qualidade,0,3,Grupo_4
2024-01-05,Agente_49,TMA,991,57,Grupo_2
2024-08-05,Agente_10,TMA,706,115,Grupo_1
2024-09-11,Agente_48,Nota de Qualidade,7,8,Grupo_0
2024-12-24,Agente_1,CSAT,80,76,Grupo_2
2024-10-09,Agente_2,CSAT,30,12,Grupo_3
2024-07-25,Agente_10,TMA,253,149,Grupo_2
2024-01-15,Agente_49,Nota de Qualidade,6,5,Grupo_4
2024-12-11,Agente_34,Nota de Qualidade,3,1,Grupo_3
2024-02-11,Agente_14,CSAT,48,35,Grupo_3
2024-06-27,Agente_42,CSAT,93,95,Grupo_2
2024-03-03,Agente_10,CSAT,16,72,Grupo_4
2024-12-17,Agente_30,Nota de Qualidade,2,2,Grupo_0
2024-08-18,Agente_27,CSAT,85,4,Grupo_2
2024-08-28,Agente_27,CSAT,95,29,Grupo_0
2024-02-21,Agente_31,TMA,262,183,Grupo_2
2024-04-05,Agente_24,CSAT,76,59,Grupo_0
2024-08-09,Agente_19,CSAT,60,68,Grupo_2
2024-08-18,Agente_27,Nota de Qualidade,1,2,Grupo_3
2024-08-24,Agente_24,Nota de Qualidade,5,5,Grupo_1
2024-05-22,Agente_10,TMA,68,29,Grupo_3
2024-06-19,Agente_18,CSAT,20,17,Grupo_0
2024-01-29,Agente_27,TMA,1095,91,Grupo_4
2024-02-05,Agente_0,Nota de Qualidade,2,5,Grupo_3
2024-01-13,Agente_4,TMA,1136,189,Grupo_1
2024-06-08,Agente_9,Nota de Qualidade,9,3,Grupo_0
2024-11-22,Agente_41,TMA,804,154,Grupo_3
2024-07-05,Agente_45,TMA,113,77,Grupo_2
2024-08-30,Agente_33,CSAT,34,88,Grupo_4
2024-03-26,Agente_35,TMA,762,24,Grupo_0
2024-10-10,Agente_1,CSAT,30,28,Grupo_3
2024-03-06,Agente_17,CSAT,9,57,Grupo_0
2024-06-18,Agente_12,CSAT,70,33,Grupo_2
2024-02-14,Agente_4,CSAT,6,5,Grupo_1
2024-03-02,Agente_19,TMA,533,134,Grupo_3
2024-05-13,Agente_1,Nota de Qualidade,6,9,Grupo_0
2024-10-10,Agente_10,Nota de Qualidade,7,6,Grupo_0
2024-01-28,Agente_29,Nota de Qualidade,1,8,Grupo_0
2024-04-17,Agente_31,TMA,343,45,Grupo_1
2024-02-13,Agente_31,CSAT,55,47,Grupo_0
2024-12-05,Agente_49,Nota de Qualidade,6,4,Grupo_4
2024-10-12,Agente_37,TMA,950,75,Grupo_4
2024-11-26,Agente_27,CSAT,8,6,Grupo_0
2024-05-07,Agente_9,Nota de Qualidade,6,1,Grupo_4
2024-12-13,Agente_21,CSAT,2,74,Grupo_3
2024-08-18,Agente_16,Nota de Qualidade,4,7,Grupo_4
2024-07-08,Agente_21,Nota de Qualidade,0,9,Grupo_0
2024-08-12,Agente_42,Nota de Qualidade,4,3,Grupo_2
2024-10-09,Agente_18,CSAT,70,26,Grupo_3
2024-04-30,Agente_16,TMA,971,49,Grupo_1
2024-04-25,Agente_23,CSAT,89,51,Grupo_0
2024-08-20,Agente_35,Nota de Qualidade,6,7,Grupo_1
2024-09-15,Agente_31,CSAT,95,36,Grupo_2
2024-12-24,Agente_45,TMA,764,94,Grupo_1
2024-07-16,Agente_35,CSAT,76,90,Grupo_0
2024-05-16,Agente_27,TMA,744,146,Grupo_0
2024-11-13,Agente_13,TMA,1120,96,Grupo_2
2024-06-13,Agente_35,CSAT,0,66,Grupo_0
2024-08-12,Agente_5,Nota de Qualidade,3,9,Grupo_2
2024-11-02,Agente_8,TMA,288,17,Grupo_2
2024-08-21,Agente_20,CSAT,33,49,Grupo_0
2024-06-20,Agente_11,TMA,694,56,Grupo_4
2024-05-31,Agente_29,Nota de Qualidade,8,3,Grupo_2
2024-11-10,Agente_30,CSAT,44,52,Grupo_0
2024-06-08,Agente_39,CSAT,95,99,Grupo_4
2024-04-05,Agente_3,CSAT,95,34,Grupo_2
2024-08-20,Agente_30,Nota de Qualidade,4,4,Grupo_4
2024-06-28,Agente_26,TMA,168,101,Grupo_3
2024-04-22,Agente_24,CSAT,91,8,Grupo_3
2024-11-13,Agente_4,TMA,779,72,Grupo_4
2024-02-21,Agente_5,TMA,1165,34,Grupo_2
2024-09-24,Agente_4,Nota de Qualidade,9,1,Grupo_0
2024-10-21,Agente_26,CSAT,7,21,Grupo_1
2024-04-22,Agente_7,TMA,1181,110,Grupo_0
2024-04-10,Agente_8,CSAT,89,78,Grupo_1
2024-04-22,Agente_14,CSAT,28,30,Grupo_1
2024-03-21,Agente_35,Nota de Qualidade,2,7,Grupo_2
2024-07-05,Agente_40,CSAT,99,11,Grupo_4
2024-04-22,Agente_6,CSAT,31,59,Grupo_0
2024-01-02,Agente_31,TMA,124,155,Grupo_4
2024-05-09,Agente_7,Nota de Qualidade,7,7,Grupo_3
2024-08-07,Agente_46,CSAT,65,40,Grupo_2
2024-02-23,Agente_14,TMA,753,168,Grupo_2
2024-12-08,Agente_36,Nota de Qualidade,0,4,Grupo_3
2024-08-11,Agente_18,Nota de Qualidade,1,7,Grupo_0
2024-08-12,Agente_38,TMA,971,159,Grupo_3
2024-05-05,Agente_5,TMA,1055,190,Grupo_0
2024-05-09,Agente_18,TMA,1100,134,Grupo_1
2024-02-22,Agente_27,TMA,949,108,Grupo_2
2024-06-20,Agente_16,TMA,548,189,Grupo_0
2024-08-05,Agente_41,CSAT,34,44,Grupo_4
2024-06-08,Agente_18,CSAT,14,61,Grupo_4
2024-07-16,Agente_30,Nota de Qualidade,3,8,Grupo_2
2024-09-03,Agente_10,CSAT,43,21,Grupo_3
2024-11-19,Agente_14,CSAT,76,47,Grupo_3
2024-07-21,Agente_9,CSAT,74,49,Grupo_0
2024-07-02,Agente_42,TMA,1008,36,Grupo_3
2024-05-02,Agente_22,Nota de Qualidade,3,2,Grupo_2
2024-09-11,Agente_2,Nota de Qualidade,2,9,Grupo_0
2024-10-20,Agente_2,Nota de Qualidade,6,3,Grupo_1
2024-10-06,Agente_17,Nota de Qualidade,4,3,Grupo_3
2024-11-20,Agente_24,CSAT,9,52,Grupo_3
2024-04-07,Agente_42,CSAT,11,72,Grupo_0
2024-07-16,Agente_19,TMA,377,140,Grupo_4
2024-08-27,Agente_28,Nota de Qualidade,2,8,Grupo_3
2024-05-23,Agente_21,CSAT,89,23,Grupo_2
2024-04-06,Agente_49,CSAT,9,18,Grupo_3
2024-07-19,Agente_14,TMA,994,163,Grupo_1
2024-05-03,Agente_38,TMA,582,147,Grupo_3
2024-07-05,Agente_9,TMA,446,71,Grupo_4
2024-11-21,Agente_20,CSAT,70,61,Grupo_3
2024-12-14,Agente_28,CSAT,3,61,Grupo_0
2024-09-15,Agente_31,TMA,929,22,Grupo_3
2024-05-27,Agente_9,Nota de Qualidade,2,6,Grupo_4
2024-09-08,Agente_12,TMA,497,60,Grupo_0
2024-12-11,Agente_46,TMA,614,120,Grupo_2
2024-05-26,Agente_22,TMA,586,186,Grupo_0
2024-05-27,Agente_49,TMA,733,48,Grupo_1
2024-12-17,Agente_22,CSAT,25,69,Grupo_0
2024-07-17,Agente_30,Nota de Qualidade,8,3,Grupo_2
2024-11-03,Agente_3,TMA,1053,120,Grupo_3
2024-05-07,Agente_48,Nota de Qualidade,3,2,Grupo_0
2024-02-08,Agente_2,Nota de Qualidade,6,6,Grupo_0
2024-12-03,Agente_20,Nota de Qualidade,7,5,Grupo_0
2024-12-25,Agente_1,TMA,717,198,Grupo_0
2024-05-08,Agente_3,CSAT,3,1,Grupo_2
2024-09-23,Agente_0,TMA,621,93,Grupo_4
2024-05-30,Agente_14,Nota de Qualidade,5,4,Grupo_4
2024-10-24,Agente_32,Nota de Qualidade,3,2,Grupo_0
2024-04-08,Agente_5,CSAT,11,74,Grupo_2
2024-09-19,Agente_6,TMA,403,33,Grupo_2
2024-09-08,Agente_18,Nota de Qualidade,4,3,Grupo_0
2024-05-23,Agente_43,CSAT,37,46,Grupo_1
2024-12-11,Agente_0,Nota de Qualidade,8,8,Grupo_0
2024-04-21,Agente_38,CSAT,54,78,Grupo_1
2024-02-29,Agente_18,CSAT,30,88,Grupo_0
2024-01-02,Agente_44,TMA,719,47,Grupo_1
2024-10-30,Agente_25,Nota de Qualidade,4,2,Grupo_1
2024-09-10,Agente_43,TMA,334,129,Grupo_0
2024-05-19,Agente_11,Nota de Qualidade,8,9,Grupo_1
2024-02-06,Agente_21,TMA,1193,174,Grupo_3
2024-06-08,Agente_12,Nota de Qualidade,1,7,Grupo_4
2024-01-09,Agente_27,TMA,914,40,Grupo_2
2024-08-20,Agente_13,CSAT,43,45,Grupo_1
2024-04-08,Agente_21,Nota de Qualidade,7,8,Grupo_1
2024-05-26,Agente_29,Nota de Qualidade,4,1,Grupo_2
2024-10-30,Agente_43,CSAT,76,11,Grupo_1
2024-07-26,Agente_19,TMA,920,77,Grupo_2
2024-05-10,Agente_43,Nota de Qualidade,3,3,Grupo_0
2024-05-31,Agente_26,Nota de Qualidade,7,3,Grupo_3
2024-02-23,Agente_37,TMA,984,139,Grupo_3
2024-04-29,Agente_41,CSAT,5,31,Grupo_4
2024-06-09,Agente_40,TMA,403,177,Grupo_1
2024-04-25,Agente_33,TMA,716,14,Grupo_4
2024-03-15,Agente_38,TMA,320,115,Grupo_0
2024-04-22,Agente_40,Nota de Qualidade,8,4,Grupo_3
2024-04-13,Agente_43,CSAT,71,1,Grupo_0
2024-12-05,Agente_36,CSAT,55,70,Grupo_0
2024-09-10,Agente_0,TMA,625,148,Grupo_1
2024-08-14,Agente_14,Nota de Qualidade,2,8,Grupo_0
2024-04-21,Agente_31,TMA,439,99,Grupo_3
2024-04-08,Agente_7,Nota de Qualidade,4,7,Grupo_4
2024-06-01,Agente_32,Nota de Qualidade,5,9,Grupo_3
2024-12-14,Agente_17,Nota de Qualidade,6,3,Grupo_1
2024-12-03,Agente_44,Nota de Qualidade,4,9,Grupo_3
2024-07-12,Agente_28,CSAT,92,95,Grupo_2
2024-11-05,Agente_31,Nota de Qualidade,9,2,Grupo_4
2024-06-11,Agente_32,Nota de Qualidade,0,8,Grupo_2
2024-07-26,Agente_4,TMA,947,11,Grupo_2
2024-06-17,Agente_17,TMA,584,33,Grupo_1
2024-06-09,Agente_47,CSAT,68,34,Grupo_0
2024-03-08,Agente_9,TMA,306,96,Grupo_2
2024-10-15,Agente_35,Nota de Qualidade,2,1,Grupo_3
2024-10-03,Agente_32,TMA,971,189,Grupo_0
2024-10-30,Agente_22,CSAT,97,49,Grupo_3
2024-05-14,Agente_39,TMA,649,184,Grupo_3
2024-07-13,Agente_4,TMA,1118,80,Grupo_0
2024-05-07,Agente_33,CSAT,28,54,Grupo_0
2024-02-02,Agente_23,CSAT,85,23,Grupo_3
2024-06-24,Agente_16,Nota de Qualidade,7,3,Grupo_1
2024-01-22,Agente_30,TMA,69,70,Grupo_4
2024-08-25,Agente_6,Nota de Qualidade,7,7,Grupo_4
2024-06-06,Agente_16,TMA,85,174,Grupo_1
2024-02-07,Agente_27,TMA,820,15,Grupo_0
2024-08-17,Agente_37,Nota de Qualidade,7,1,Grupo_3
2024-12-30,Agente_21,TMA,647,199,Grupo_4
2024-02-20,Agente_14,TMA,529,43,Grupo_3
2024-09-20,Agente_36,TMA,799,127,Grupo_1
2024-10-09,Agente_14,CSAT,36,38,Grupo_3
2024-01-27,Agente_49,Nota de Qualidade,5,8,Grupo_1
2024-08-13,Agente_49,CSAT,8,53,Grupo_0
2024-10-03,Agente_24,Nota de Qualidade,5,6,Grupo_1
2024-10-12,Agente_20,Nota de Qualidade,5,2,Grupo_1
2024-04-06,Agente_37,TMA,623,138,Grupo_4
2024-10-10,Agente_1,Nota de Qualidade,0,1,Grupo_3
2024-11-12,Agente_26,CSAT,38,16,Grupo_4
2024-10-30,Agente_48,CSAT,16,82,Grupo_2
2024-05-26,Agente_31,CSAT,21,86,Grupo_1
2024-01-04,Agente_20,Nota de Qualidade,2,8,Grupo_2
2024-02-04,Agente_3,CSAT,26,36,Grupo_4
2024-07-10,Agente_43,Nota de Qualidade,6,4,Grupo_3
2024-02-18,Agente_18,CSAT,68,25,Grupo_4
2024-01-17,Agente_1,CSAT,94,78,Grupo_3
2024-06-20,Agente_25,Nota de Qualidade,8,8,Grupo_3
2024-08-07,Agente_33,CSAT,62,55,Grupo_0
2024-06-06,Agente_13,TMA,73,65,Grupo_1
2024-02-15,Agente_14,Nota de Qualidade,2,6,Grupo_4
2024-01-06,Agente_19,Nota de Qualidade,9,7,Grupo_3
2024-04-08,Agente_33,Nota de Qualidade,5,5,Grupo_4
2024-08-20,Agente_35,TMA,717,194,Grupo_4
2024-02-06,Agente_18,Nota de Qualidade,6,7,Grupo_3
2024-10-06,Agente_8,CSAT,13,96,Grupo_2
2024-12-14,Agente_6,CSAT,68,22,Grupo_1
2024-10-28,Agente_29,CSAT,27,43,Grupo_1
2024-06-29,Agente_12,Nota de Qualidade,1,4,Grupo_0
2024-04-04,Agente_26,CSAT,94,77,Grupo_0
2024-04-08,Agente_43,Nota de Qualidade,3,4,Grupo_0
2024-07-06,Agente_34,CSAT,6,23,Grupo_1
2024-04-25,Agente_12,TMA,221,126,Grupo_2
2024-07-09,Agente_14,TMA,565,123,Grupo_1
2024-09-09,Agente_45,TMA,1104,79,Grupo_1
2024-06-09,Agente_8,TMA,542,184,Grupo_1
2024-09-12,Agente_44,Nota de Qualidade,4,4,Grupo_1
2024-11-18,Agente_22,CSAT,40,75,Grupo_2
2024-05-07,Agente_35,TMA,699,151,Grupo_0
2024-01-18,Agente_39,Nota de Qualidade,7,7,Grupo_4
2024-10-07,Agente_2,TMA,166,26,Grupo_0
2024-08-10,Agente_33,TMA,635,95,Grupo_0
2024-02-23,Agente_18,Nota de Qualidade,6,3,Grupo_4
2024-02-27,Agente_27,Nota de Qualidade,4,7,Grupo_1
2024-11-18,Agente_22,CSAT,16,28,Grupo_2
2024-12-25,Agente_39,CSAT,0,53,Grupo_2
2024-06-22,Agente_48,TMA,760,22,Grupo_0
2024-10-06,Agente_44,TMA,1019,169,Grupo_4
2024-04-23,Agente_6,CSAT,27,53,Grupo_3
2024-10-14,Agente_40,CSAT,30,8,Grupo_1
2024-12-07,Agente_11,Nota de Qualidade,7,2,Grupo_0
2024-05-30,Agente_13,CSAT,86,74,Grupo_2
2024-05-06,Agente_45,CSAT,24,33,Grupo_4
2024-06-03,Agente_14,TMA,808,144,Grupo_4
2024-09-29,Agente_2,CSAT,96,66,Grupo_0
2024-04-13,Agente_14,TMA,1179,14,Grupo_3
2024-10-25,Agente_23,CSAT,16,76,Grupo_2
2024-09-02,Agente_45,Nota de Qualidade,3,3,Grupo_0
2024-06-24,Agente_7,CSAT,61,21,Grupo_3
2024-02-08,Agente_4,CSAT,84,66,Grupo_4
2024-06-18,Agente_3,CSAT,52,21,Grupo_1
2024-09-03,Agente_13,TMA,458,160,Grupo_2
2024-01-26,Agente_15,Nota de Qualidade,5,7,Grupo_2
2024-12-20,Agente_19,CSAT,25,53,Grupo_3
2024-11-01,Agente_23,TMA,125,176,Grupo_0
2024-01-13,Agente_5,Nota de Qualidade,6,8,Grupo_4
2024-11-11,Agente_30,TMA,226,41,Grupo_3
2024-11-08,Agente_5,TMA,402,166,Grupo_1
2024-02-05,Agente_34,Nota de Qualidade,8,8,Grupo_1
2024-06-21,Agente_14,CSAT,30,66,Grupo_1
2024-01-20,Agente_28,TMA,1085,184,Grupo_3
2024-11-16,Agente_2,TMA,856,136,Grupo_4
2024-09-20,Agente_10,CSAT,98,49,Grupo_2
2024-05-21,Agente_2,CSAT,72,32,Grupo_0
2024-05-22,Agente_27,Nota de Qualidade,2,1,Grupo_2
2024-04-01,Agente_9,Nota de Qualidade,5,4,Grupo_4
2024-12-19,Agente_49,Nota de Qualidade,0,4,Grupo_2
2024-11-17,Agente_32,CSAT,7,64,Grupo_3
2024-10-14,Agente_47,TMA,1078,176,Grupo_1
2024-08-02,Agente_15,TMA,839,42,Grupo_4
2024-12-07,Agente_9,Nota de Qualidade,9,9,Grupo_4
2024-02-20,Agente_32,CSAT,37,48,Grupo_2
2024-06-01,Agente_35,TMA,525,92,Grupo_3
2024-07-04,Agente_2,Nota de Qualidade,6,3,Grupo_2
2024-03-03,Agente_4,TMA,384,172,Grupo_2
2024-07-08,Agente_11,TMA,110,36,Grupo_4
2024-05-04,Agente_43,CSAT,36,85,Grupo_2
2024-05-29,Agente_12,CSAT,15,92,Grupo_1
2024-11-09,Agente_23,TMA,852,42,Grupo_2
2024-02-27,Agente_43,Nota de Qualidade,0,9,Grupo_1
2024-12-07,Agente_31,CSAT,3,66,Grupo_4
2024-10-31,Agente_15,TMA,1143,146,Grupo_3
2024-06-28,Agente_31,CSAT,30,89,Grupo_1
2024-06-18,Agente_44,CSAT,99,69,Grupo_3
2024-11-21,Agente_36,CSAT,23,24,Grupo_3
2024-09-27,Agente_35,TMA,280,182,Grupo_1
2024-02-23,Agente_20,Nota de Qualidade,4,8,Grupo_4
2024-04-10,Agente_46,Nota de Qualidade,2,7,Grupo_0
2024-09-20,Agente_11,Nota de Qualidade,2,6,Grupo_3
2024-02-22,Agente_20,CSAT,5,6,Grupo_3
2024-02-29,Agente_20,TMA,857,10,Grupo_4
2024-04-17,Agente_42,CSAT,62,8,Grupo_4
2024-01-05,Agente_5,Nota de Qualidade,8,1,Grupo_2
2024-04-12,Agente_8,Nota de Qualidade,4,6,Grupo_4
2024-07-14,Agente_0,TMA,367,87,Grupo_3
2024-09-18,Agente_11,CSAT,10,2,Grupo_1
2024-12-30,Agente_13,Nota de Qualidade,4,4,Grupo_0
2024-12-15,Agente_5,TMA,520,16,Grupo_2
2024-02-16,Agente_0,CSAT,66,9,Grupo_1
2024-12-20,Agente_21,CSAT,77,63,Grupo_0
2024-11-06,Agente_33,Nota de Qualidade,4,3,Grupo_0
2024-11-03,Agente_10,Nota de Qualidade,7,7,Grupo_0
2024-05-23,Agente_2,CSAT,58,63,Grupo_1
2024-09-25,Agente_41,CSAT,6,55,Grupo_2
2024-05-03,Agente_5,Nota de Qualidade,2,3,Grupo_2
2024-04-15,Agente_5,CSAT,17,45,Grupo_0
2024-06-06,Agente_19,Nota de Qualidade,0,5,Grupo_1
2024-05-26,Agente_20,CSAT,91,36,Grupo_0
2024-05-24,Agente_1,Nota de Qualidade,1,1,Grupo_4
2024-04-29,Agente_25,TMA,297,183,Grupo_2
2024-11-14,Agente_30,Nota de Qualidade,2,6,Grupo_3
2024-10-01,Agente_25,Nota de Qualidade,1,7,Grupo_0
2024-04-01,Agente_31,TMA,726,144,Grupo_4
2024-02-27,Agente_9,CSAT,90,83,Grupo_2
2024-12-11,Agente_22,TMA,228,148,Grupo_1
2024-08-16,Agente_5,Nota de Qualidade,4,2,Grupo_2
2024-04-26,Agente_22,CSAT,55,12,Grupo_1
2024-11-13,Agente_27,TMA,229,115,Grupo_1
2024-10-05,Agente_48,CSAT,74,10,Grupo_0
2024-05-06,Agente_29,CSAT,27,7,Grupo_0
2024-05-08,Agente_13,TMA,392,70,Grupo_2
2024-02-27,Agente_36,CSAT,50,42,Grupo_4
2024-05-01,Agente_31,TMA,700,20,Grupo_2
2024-01-01,Agente_48,Nota de Qualidade,3,7,Grupo_3
2024-08-26,Agente_33,CSAT,46,93,Grupo_1
2024-10-16,Agente_40,Nota de Qualidade,8,6,Grupo_1
2024-04-05,Agente_43,Nota de Qualidade,0,8,Grupo_0
2024-05-05,Agente_21,CSAT,65,36,Grupo_4
2024-04-27,Agente_30,TMA,993,84,Grupo_0
2024-02-17,Agente_6,CSAT,2,98,Grupo_3
2024-03-29,Agente_40,Nota de Qualidade,1,9,Grupo_2
2024-08-24,Agente_20,Nota de Qualidade,5,2,Grupo_2
2024-09-28,Agente_15,TMA,302,103,Grupo_4
2024-07-07,Agente_19,CSAT,16,82,Grupo_0
2024-07-10,Agente_42,Nota de Qualidade,1,2,Grupo_0
